(QUERY): 'ISLAM' '05'
Negative Neutral Positive
0.19754284620285034 0.7697507739067078 0.03270631283521652 
0.1852971762418747 0.7752743363380432 0.0394284725189209 
0.34978726506233215 0.5872783064842224 0.06293447315692902 
0.34978726506233215 0.5872783064842224 0.06293447315692902 
0.6931272745132446 0.2926689684391022 0.014203768223524094 
0.644525408744812 0.33914846181869507 0.01632612943649292 
0.03366653621196747 0.5790378451347351 0.387295663356781 
0.8249543905258179 0.1657114177942276 0.009334282949566841 
0.5816340446472168 0.3923763632774353 0.025989653542637825 
0.7955362796783447 0.197691410779953 0.006772312801331282 
0.09178577363491058 0.8511502742767334 0.057063959538936615 
0.769278347492218 0.21996688842773438 0.010754776187241077 
0.00931437499821186 0.5104219317436218 0.4802636504173279 
0.9754016399383545 0.021861249580979347 0.0027371870819479227 
0.006267949007451534 0.328885018825531 0.6648470759391785 
0.0634886845946312 0.8068602681159973 0.1296510398387909 
0.03736080229282379 0.6712508201599121 0.2913884222507477 
0.038626886904239655 0.6869536638259888 0.2744194269180298 
0.8248347043991089 0.16686280071735382 0.008302525617182255 
0.046490855515003204 0.49415645003318787 0.45935264229774475 
0.046425554901361465 0.49362048506736755 0.4599539637565613 
0.6292429566383362 0.34110400080680847 0.029653016477823257 
0.12100046873092651 0.754843533039093 0.12415600568056107 
0.029013479128479958 0.7440935373306274 0.22689294815063477 
0.2561721205711365 0.6696096658706665 0.0742182508111 
0.031633682548999786 0.7876222133636475 0.18074417114257812 
0.011477978900074959 0.44190657138824463 0.5466154217720032 
0.2499392032623291 0.7044488787651062 0.04561196267604828 
0.4465917944908142 0.49961626529693604 0.05379188060760498 
0.17360255122184753 0.7639066576957703 0.06249076873064041 
0.020783185958862305 0.5734947919845581 0.4057220220565796 
0.0406203418970108 0.441482275724411 0.5178974270820618 
0.1467272937297821 0.7925053238868713 0.06076736003160477 
0.8286993503570557 0.16675777733325958 0.0045429072342813015 
0.6499903202056885 0.33170464634895325 0.018305035308003426 
0.8620604872703552 0.1320251226425171 0.005914407316595316 
0.10265623033046722 0.8038729429244995 0.09347081929445267 
0.08991739898920059 0.8572394251823425 0.05284323915839195 
0.010942347347736359 0.57595294713974 0.41310474276542664 
0.6151262521743774 0.355751097202301 0.02912258729338646 
0.8215847611427307 0.16970783472061157 0.008707387372851372 
0.9123519062995911 0.0827571228146553 0.00489096250385046 
0.3210276663303375 0.6337669491767883 0.045205358415842056 
0.04507022723555565 0.5757662653923035 0.3791635036468506 
